 pp_0086  6415522.225623104 1899636.4556575948 5  9.84354678501905919901782127112710441e-04 
 pp_0087  6418743.992610187 1901004.0146073073 9  1.39774691642957030884852898111603281e-03 
 pp_0088  6421965.759597272 1902371.5735570197 9  9.98441720392866539218745813855093729e-04 
 pp_0089  6425187.526584355 1903739.1325067324 9  1.09280133616448471914339712895980483e-03 
 pp_0090  6397559.182650316 1888209.3349722365 9  9.1036510180876400403354731238891873e-04 
 pp_0091  6400780.949637399 1889576.893921949 9  1.06041102186954223733639235405235013e-03 
 pp_0092  6404002.716624483 1890944.4528716614 6  1.17810235474823739483529738691913735e-03 
 pp_0093  6407224.483611566 1892312.0118213738 6  1.02582960995584887044229649433191298e-03 
 pp_0094  6410446.2505986495 1893679.5707710863 5  1.21846181002730250507448683805478140e-03 
 pp_0095  6413668.017585733 1895047.1297207987 5  1.27417828527883738795600798709983792e-03 
 pp_0096  6416889.784572816 1896414.6886705111 9  9.96288538282022592337816568885955348e-04 
 pp_0097  6420111.5515599 1897782.2476202236 9  8.15775046742184153751586972447285007e-04 
 pp_0098  6423333.318546984 1899149.806569936 9  1.01976736669478129301835700459832879e-03 
 pp_0099  6426555.085534068 1900517.3655196487 9  9.82743671031224841350137921835994348e-04 
 pp_0100  6429776.852521151 1901884.924469361 9  1.11753194047995883450563603389582568e-03 
 pp_0101  6398926.741600028 1884987.567985153 9  9.1069863136990496666617334042825860e-04 
 pp_0102  6402148.508587112 1886355.1269348655 9  1.20733781529608753639581930627855400e-03 
 pp_0103  6405370.275574195 1887722.685884578 9  1.12651132777680912898377041386765995e-03 
 pp_0104  6408592.042561279 1889090.2448342904 6  9.25349401499855504435454456313436822e-04 
 pp_0105  6411813.809548362 1890457.8037840028 5  1.14592777609991646435572132389779654e-03 
 pp_0106  6415035.576535446 1891825.3627337152 5  9.51635200076607020748531429177319296e-04 
 pp_0107  6418257.343522529 1893192.9216834276 9  9.99315225525150389873640932592024910e-04 
 pp_0108  6421479.110509613 1894560.48063314 9  1.14618479838019633396117846757533698e-03 
 pp_0109  6424700.877496697 1895928.0395828525 9  1.31610293092240880456766927153466895e-03 
 pp_0110  6427922.6444837805 1897295.5985325652 9  1.23228083127557776384197740782155961e-03 
 pp_0111  6431144.411470864 1898663.1574822776 9  1.10260742461665501093492913753379980e-03 
 pp_0112  6400294.30054974 1881765.8009980696 9  1.3745831717149191615601200311402863e-03 
 pp_0113  6403516.067536823 1883133.359947782 9  9.29482597938261325201669826867600932e-04 
 pp_0114  6406737.834523907 1884500.9188974944 9  9.56332881571859841698945992050084897e-04 
 pp_0115  6409959.60151099 1885868.4778472069 9  1.03750409299056237273639613505338275e-03 
 pp_0116  6413181.368498074 1887236.0367969193 5  8.32654395681151201710767928432233020e-04 
 pp_0117  6416403.135485157 1888603.5957466317 5  8.55673246142801282275447416481028995e-04 
 pp_0118  6419624.902472241 1889971.1546963442 9  9.15502537563715442295309010489745560e-04 
 pp_0119  6422846.669459324 1891338.7136460566 9  1.12018877598688178232055889793628012e-03 
 pp_0120  6426068.436446409 1892706.272595769 9  1.21684658237044521396363894183423326e-03 
 pp_0121  6429290.203433492 1894073.8315454817 9  1.05164168950195734304753347743144332e-03 
 pp_0122  6401661.859499453 1878544.0340109859 9  9.8872683093612664766147712924748703e-04 
 pp_0123  6404883.626486536 1879911.5929606985 9  9.97635454540071785548005500743329321e-04 
 pp_0124  6408105.39347362 1881279.1519104107 9  9.89936667429308289611888937997719040e-04 
 pp_0125  6411327.160460703 1882646.7108601234 6  1.22839153115638440201540237950439405e-03 
 pp_0126  6414548.927447787 1884014.2698098356 6  8.01579356785490438133678914311985864e-04 
 pp_0127  6417770.69443487 1885381.8287595483 5  1.15128916719054873347982681508483438e-03 
 pp_0128  6420992.4614219535 1886749.3877092605 9  7.02190123871948611647408888813970407e-04 
 pp_0129  6424214.228409037 1888116.9466589731 9  1.17191838011278031891904127803627489e-03 
 pp_0130  6427435.995396121 1889484.5056086853 9  1.00449330040085433105034873335625889e-03 
 pp_0131  6430657.762383205 1890852.064558398 9  1.12096683988569803189228046846892539e-03 
 pp_0132  6433879.529370288 1892219.6235081106 9  1.09034224048075857431416846310412438e-03 
 pp_0133  6403029.418449165 1875322.2670239024 9  8.4048167529115797198813186952293108e-04 
 pp_0134  6406251.185436249 1876689.8259736148 9  1.07992091836152490254285840620696035e-03 
 pp_0135  6409472.952423332 1878057.3849233272 9  8.71553254802040532414619811163447594e-04 
 pp_0136  6412694.719410416 1879424.9438730397 6  1.11107299739540330528464462389592882e-03 
 pp_0137  6415916.486397499 1880792.502822752 6  8.54208363262656572741093885525742735e-04 
 pp_0138  6419138.253384583 1882160.0617724645 5  8.28874521166258972255935777440072343e-04 
 pp_0139  6422360.020371666 1883527.620722177 9  9.03624264038101936494240540298505948e-04 
 pp_0140  6425581.78735875 1884895.1796718894 9  9.40059525153561295618409587859787280e-04 
 pp_0141  6428803.554345834 1886262.7386216018 9  6.79168782896922597347444394699778059e-04 
 pp_0142  6432025.321332918 1887630.2975713145 9  8.67752686341690792487524319653857674e-04 
 pp_0143  6435247.088320001 1888997.856521027 9  9.56976141261134199099414043843125910e-04 
 pp_0144  6438468.8553070845 1890365.4154707394 9  1.02974327387810732359341159281029832e-03 
 pp_0145  6404396.977398878 1872100.500036819 9  7.94402682753198204068656451681817998e-04 
 pp_0146  6407618.744385961 1873468.0589865313 9  8.892956210398078121040499333105344704e-04 
 pp_0147  6410840.511373045 1874835.6179362438 9  9.631387976288532590252167153721529758e-04 
 pp_0148  6414062.278360128 1876203.1768859562 6  9.704814362321634909486212094975599030e-04 
 pp_0149  6417284.045347212 1877570.7358356686 6  8.323584153150316621364024349816190806e-04 
 pp_0150  6420505.812334295 1878938.294785381 6  8.275399860996763808443366094991233695e-04 
 pp_0151  6423727.579321379 1880305.8537350935 9  1.003013064395289963282031919789005769e-03 
 pp_0152  6426949.346308462 1881673.412684806 9  9.632613263847230461456305761203111615e-04 
 pp_0153  6430171.113295547 1883040.9716345184 9  8.567817828533053287412557530444701115e-04 
 pp_0154  6433392.88028263 1884408.530584231 9  9.935435863837626703498617786181057454e-04 
 pp_0155  6436614.647269714 1885776.0895339435 9  1.027463138997219060585819327968692960e-03 
 pp_0156  6439836.414256797 1887143.6484836559 9  9.505992466718737876618661175598390400e-04 
 pp_0157  6405764.536348591 1868878.7330497354 9  1.14482934220917677986539828793866036e-03 
 pp_0158  6408986.303335674 1870246.2919994479 9  1.052537222293144702697786918577094184e-03 
 pp_0159  6412208.070322758 1871613.8509491603 9  9.123802562983887240455338485389802372e-04 
 pp_0160  6415429.837309841 1872981.4098988727 6  1.009208989862309027024656060689267179e-03 
 pp_0161  6418651.604296925 1874348.9688485852 6  1.326786614450624866845540594795238576e-03 
 pp_0162  6421873.371284008 1875716.5277982976 6  1.191596227976473914775268347909786826e-03 
 pp_0163  6425095.1382710915 1877084.08674801 9  9.250099712549250847992698965072122519e-04 
 pp_0164  6428316.905258175 1878451.6456977224 9  9.735496288980461472226113350814102887e-04 
 pp_0165  6431538.672245259 1879819.2046474349 9  1.183998346209570685580447779727819579e-03 
 pp_0166  6434760.439232343 1881186.7635971475 9  1.031890243379337017068375637052213278e-03 
 pp_0167  6437982.206219426 1882554.32254686 9  8.587856346906348314201862237382556486e-04 
 pp_0168  6441203.97320651 1883921.8814965724 9  9.302891308455188239256994364723141189e-04 
 pp_0169  6407132.095298302 1865656.9660626517 9  9.19625000607686405272589436066255075e-04 
 pp_0170  6410353.862285386 1867024.5250123641 9  6.627667626455506239696591208598874800e-04 
 pp_0171  6413575.629272469 1868392.0839620766 9  1.153959802964505190758792707583779702e-03 
 pp_0172  6416797.396259553 1869759.642911789 6  1.295510535755609515459751968080581719e-03 
 pp_0173  6420019.163246636 1871127.2018615014 6  1.000681508889650263988135847625926544e-03 
 pp_0174  6423240.93023372 1872494.7608112139 6  1.007616136384326599104155341990463057e-03 
 pp_0175  6426462.697220803 1873862.3197609263 8  1.006993841055501799977567323196581128e-03 
 pp_0176  6429684.464207887 1875229.8787106387 9  6.425856526360041462778149856660547812e-04 
 pp_0177  6432906.231194971 1876597.4376603512 9  1.335951280623959552124047078791591048e-03 
 pp_0178  6436127.998182055 1877964.9966100638 9  9.897043071777911205089139912161044776e-04 
 pp_0179  6439349.765169138 1879332.5555597763 9  9.920053464623683567996659249388358148e-04 
 pp_0180  6442571.532156222 1880700.1145094887 9  7.188330729587304136415926159031641873e-04 
 pp_0181  6408499.654248015 1862435.1990755682 9  9.23263079595270492148928465070412130e-04 
 pp_0182  6411721.4212350985 1863802.7580252807 9  1.022877239511286616077678779390680575e-03 
 pp_0183  6414943.188222182 1865170.316974993 9  9.165255678947903947642594779665614624e-04 
 pp_0184  6418164.955209265 1866537.8759247055 6  8.096238247650217783116244341101719328e-04 
 pp_0185  6421386.722196349 1867905.434874418 6  1.009425697116548073517527939202409470e-03 
 pp_0186  6424608.489183432 1869272.9938241304 8  1.015397275137728269958636850844868604e-03 
 pp_0187  6427830.256170516 1870640.5527738428 8  9.549135344392408516339676438633432554e-04 
 pp_0188  6431052.023157599 1872008.1117235553 9  1.313056942846513915762463042824492732e-03 
 pp_0189  6434273.790144684 1873375.6706732677 9  8.598570739640940766707055686879357381e-04 
 pp_0190  6437495.557131767 1874743.2296229803 9  9.795412323391539978489905848846319714e-04 
 pp_0191  6440717.324118851 1876110.7885726928 9  9.329135436490014173308016331986891601e-04 
 pp_0192  6443939.091105934 1877478.3475224052 9  7.829151957777169762789370999200855294e-04 
 pp_0193  6409867.213197728 1859213.4320884848 9  6.99461350290839375086482387899877722e-04 
 pp_0194  6413088.980184811 1860580.9910381972 9  1.255481907461516869264905871261817083e-03 
 pp_0195  6416310.747171895 1861948.5499879096 7  7.065760329316089294673930432111319533e-04 
 pp_0196  6419532.514158978 1863316.108937622 7  8.916736017679417368106409291783620574e-04 
 pp_0197  6422754.281146062 1864683.6678873345 6  1.116786880007637761114125396488816477e-03 
 pp_0198  6425976.048133145 1866051.226837047 8  7.388967744402700045872056655582582607e-04 
 pp_0199  6429197.815120229 1867418.7857867593 8  1.264761150909465142744281251907523256e-03 
 pp_0200  6432419.582107312 1868786.3447364718 8  1.100943927374546356737217145393969986e-03 
 pp_0201  6435641.349094396 1870153.9036861842 8  1.022802814732487377419323237859316578e-03 
 pp_0202  6438863.11608148 1871521.4626358969 9  9.178715509182954748398919342378121655e-04 
 pp_0203  6442084.883068563 1872889.0215856093 9  9.224841560039769884637994579179576249e-04 
 pp_0204  6445306.650055647 1874256.5805353217 9  1.070941073758350072300804534108920052e-03 
 pp_0205  6411234.77214744 1855991.6651014013 9  8.30616333285079280583651506475462156e-04 
 pp_0206  6414456.539134524 1857359.2240511137 7  1.049474690351360605528041602951816458e-03 
 pp_0207  6417678.306121607 1858726.7830008261 7  1.167560685099365905270651921910030069e-03 
 pp_0208  6420900.073108691 1860094.3419505386 7  9.073739810711516735539095002138765267e-04 
 pp_0209  6424121.840095774 1861461.900900251 3  1.046909028499563984113129855302304350e-03 
 pp_0210  6427343.607082858 1862829.4598499634 3  8.687292142062386264556028692140898784e-04 
 pp_0211  6430565.374069941 1864197.0187996759 3  8.635501620941180055471275700540445541e-04 
 pp_0212  6433787.141057025 1865564.5777493883 2  9.747034962297822496130050851093074016e-04 
 pp_0213  6437008.908044109 1866932.1366991007 2  7.516198658204833711951597940981173451e-04 
 pp_0214  6440230.675031193 1868299.6956488134 2  9.892169351907473349300170539777354861e-04 
 pp_0215  6443452.442018276 1869667.2545985258 9  1.009852109781307193808741473617374140e-03 
 pp_0216  6415824.098084236 1854137.45706403 7  8.889350460428829250533744321671747457e-04 
 pp_0217  6419045.865071319 1855505.0160137424 7  8.662373147618703840555642869958319352e-04 
 pp_0218  6422267.6320584025 1856872.5749634549 7  7.154397739497389378804381721010940964e-04 
 pp_0219  6425489.399045486 1858240.1339131673 7  8.960080715859862748179365254941330932e-04 
 pp_0220  6428711.1660325695 1859607.6928628797 3  1.068769124033697821493649193769215344e-03 
 pp_0221  6431932.933019653 1860975.2518125921 3  7.513569869776635587466095955733180745e-04 
 pp_0222  6435154.700006736 1862342.8107623046 2  1.039339590042044538659160579641138611e-03 
 pp_0223  6438376.466993821 1863710.369712017 2  1.003623702143389365831760429159658088e-03 
