 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     5.4790000E+03   1.1888404E+02   4.4724727E+07   8.9451760E+02   5.3713144E+00   2.6856572E+00
     5.5100000E+03   1.1617489E+02   2.9637726E+06   8.9451760E+02   2.6621636E+00   1.3310818E+00
     5.5410000E+03   1.1573269E+02   4.7167613E+05   8.9451760E+02   2.2199587E+00   1.1099793E+00
     5.5690000E+03   1.1681356E+02   9.1425217E+06   8.9451760E+02   3.3008361E+00   1.6504180E+00
     5.6000000E+03   1.1662616E+02   7.0522210E+06   8.9451760E+02   3.1134308E+00   1.5567154E+00
     5.6300000E+03   1.1554481E+02   1.8189064E+04   8.9451760E+02   2.0320870E+00   1.0160435E+00
     5.6610000E+03   1.1554365E+02   1.7076090E+04   8.9451760E+02   2.0309223E+00   1.0154611E+00
     5.6910000E+03   1.1553564E+02   1.0011156E+04   8.9451760E+02   2.0229160E+00   1.0114580E+00
     5.7220000E+03   1.1560292E+02   1.0587165E+05   8.9451760E+02   2.0901902E+00   1.0450951E+00
     5.7530000E+03   1.1560151E+02   1.0310779E+05   8.9451760E+02   2.0887870E+00   1.0443935E+00
     5.7830000E+03   1.1556060E+02   3.6239878E+04   8.9451760E+02   2.0478759E+00   1.0239380E+00
     5.8140000E+03   1.1556767E+02   4.5808123E+04   8.9451760E+02   2.0549463E+00   1.0274731E+00
     5.8440000E+03   1.1703174E+02   1.1837434E+07   8.9451760E+02   3.5190109E+00   1.7595054E+00
     5.8750000E+03   1.1693065E+02   1.0553539E+07   8.9451760E+02   3.4179206E+00   1.7089603E+00
     5.9060000E+03   1.1830332E+02   3.2635329E+07   8.9451760E+02   4.7905893E+00   2.3952947E+00
     5.9340000E+03   1.2105035E+02   1.0225471E+08   8.9451760E+02   4.2741628E+00   2.1370814E+00
     5.9650000E+03   1.1739507E+02   1.6936514E+07   8.9451760E+02   1.7239980E+00   8.6199902E-01
     5.9950000E+03   1.1555493E+02   2.9183209E+04   8.9451760E+02   2.0421982E+00   1.0210991E+00
     6.0260000E+03   1.1553390E+02   8.6540047E+03   8.9451760E+02   2.0211761E+00   1.0105880E+00
     6.0560000E+03   1.1552887E+02   5.1908046E+03   8.9451760E+02   2.0161387E+00   1.0080694E+00
     6.0870000E+03   1.1559489E+02   9.0507153E+04   8.9451760E+02   2.0821670E+00   1.0410835E+00
     6.1180000E+03   1.1559479E+02   9.0303612E+04   8.9451760E+02   2.0820629E+00   1.0410314E+00
     6.1480000E+03   1.1553991E+02   1.3561489E+04   8.9451760E+02   2.0271845E+00   1.0135923E+00
     6.1790000E+03   1.1551278E+02   0.0000000E+00   8.9451760E+02   2.0000568E+00   1.0000284E+00
     6.2090000E+03   1.1552992E+02   5.8422206E+03   8.9451760E+02   2.0171917E+00   1.0085959E+00
     6.2400000E+03   1.1614763E+02   2.7634136E+06   8.9451760E+02   2.6349016E+00   1.3174508E+00
     6.2710000E+03   1.1738235E+02   1.6745762E+07   8.9451760E+02   3.8696236E+00   1.9348118E+00
     6.2990000E+03   1.1754738E+02   1.9279572E+07   8.9451760E+02   4.0346540E+00   2.0173270E+00
     6.3300000E+03   1.1677147E+02   8.6486222E+06   8.9451760E+02   3.2587456E+00   1.6293728E+00
