parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone,x,y
drn_k_i:157_j:52_zone:3,log,factor,1355.09,10.0,10000.0,drn_k,1.0,0.0,1,157,52,3,6437889.817906162,1855899.2767881376
drn_k_i:157_j:59_zone:2,log,factor,1296.45,10.0,10000.0,drn_k,1.0,0.0,1,157,59,2,6441111.584893246,1857266.83573785
drn_k_i:157_j:66_zone:2,log,factor,1455.45,10.0,10000.0,drn_k,1.0,0.0,1,157,66,2,6444333.35188033,1858634.3946875627
drn_k_i:157_j:73_zone:9,log,factor,1297.52,10.0,10000.0,drn_k,1.0,0.0,1,157,73,9,6447555.118867413,1860001.9536372751
drn_k_i:157_j:80_zone:9,log,factor,1472.5,10.0,10000.0,drn_k,1.0,0.0,1,157,80,9,6450776.885854497,1861369.512586988
drn_k_i:164_j:10_zone:9,log,factor,1214.17,10.0,10000.0,drn_k,1.0,0.0,1,164,10,9,6419926.774933374,1844472.15610278
drn_k_i:164_j:17_zone:9,log,factor,1056.04,10.0,10000.0,drn_k,1.0,0.0,1,164,17,9,6423148.541920457,1845839.715052492
drn_k_i:164_j:24_zone:7,log,factor,1184.75,10.0,10000.0,drn_k,1.0,0.0,1,164,24,7,6426370.3089075405,1847207.2740022044
drn_k_i:164_j:31_zone:7,log,factor,1176.1,10.0,10000.0,drn_k,1.0,0.0,1,164,31,7,6429592.075894624,1848574.8329519168
drn_k_i:164_j:38_zone:3,log,factor,1284.83,10.0,10000.0,drn_k,1.0,0.0,1,164,38,3,6432813.842881708,1849942.3919016293
drn_k_i:164_j:3_zone:9,log,factor,1111.56,10.0,10000.0,drn_k,1.0,0.0,1,164,3,9,6416705.00794629,1843104.5971530671
drn_k_i:164_j:45_zone:3,log,factor,1117.6,10.0,10000.0,drn_k,1.0,0.0,1,164,45,3,6436035.609868791,1851309.9508513417
drn_k_i:164_j:52_zone:3,log,factor,1345.95,10.0,10000.0,drn_k,1.0,0.0,1,164,52,3,6439257.376855874,1852677.509801054
drn_k_i:164_j:59_zone:2,log,factor,1071.76,10.0,10000.0,drn_k,1.0,0.0,1,164,59,2,6442479.143842959,1854045.0687507663
drn_k_i:164_j:66_zone:2,log,factor,1028.58,10.0,10000.0,drn_k,1.0,0.0,1,164,66,2,6445700.910830042,1855412.6277004792
drn_k_i:164_j:73_zone:9,log,factor,1560.11,10.0,10000.0,drn_k,1.0,0.0,1,164,73,9,6448922.677817126,1856780.186650192
drn_k_i:171_j:10_zone:9,log,factor,1384.53,10.0,10000.0,drn_k,1.0,0.0,1,171,10,9,6421294.333883086,1841250.389115696
drn_k_i:171_j:17_zone:9,log,factor,1756.24,10.0,10000.0,drn_k,1.0,0.0,1,171,17,9,6424516.10087017,1842617.9480654085
drn_k_i:171_j:24_zone:7,log,factor,1349.34,10.0,10000.0,drn_k,1.0,0.0,1,171,24,7,6427737.867857253,1843985.5070151207
drn_k_i:171_j:31_zone:7,log,factor,1892.78,10.0,10000.0,drn_k,1.0,0.0,1,171,31,7,6430959.634844337,1845353.065964833
drn_k_i:171_j:38_zone:1,log,factor,1270.43,10.0,10000.0,drn_k,1.0,0.0,1,171,38,1,6434181.40183142,1846720.6249145456
drn_k_i:171_j:3_zone:9,log,factor,1108.96,10.0,10000.0,drn_k,1.0,0.0,1,171,3,9,6418072.566896003,1839882.8301659836
drn_k_i:171_j:45_zone:3,log,factor,1285.22,10.0,10000.0,drn_k,1.0,0.0,1,171,45,3,6437403.168818504,1848088.183864258
drn_k_i:171_j:52_zone:3,log,factor,1289.86,10.0,10000.0,drn_k,1.0,0.0,1,171,52,3,6440624.935805587,1849455.7428139704
drn_k_i:171_j:59_zone:2,log,factor,1426.83,10.0,10000.0,drn_k,1.0,0.0,1,171,59,2,6443846.702792672,1850823.3017636829
drn_k_i:171_j:66_zone:2,log,factor,1685.34,10.0,10000.0,drn_k,1.0,0.0,1,171,66,2,6447068.469779755,1852190.8607133955
drn_k_i:171_j:73_zone:2,log,factor,1386.62,10.0,10000.0,drn_k,1.0,0.0,1,171,73,2,6450290.236766839,1853558.419663108
drn_k_i:178_j:10_zone:9,log,factor,922.855,10.0,10000.0,drn_k,1.0,0.0,1,178,10,9,6422661.892832798,1838028.6221286124
drn_k_i:178_j:17_zone:9,log,factor,1212.68,10.0,10000.0,drn_k,1.0,0.0,1,178,17,9,6425883.659819881,1839396.1810783248
drn_k_i:178_j:24_zone:7,log,factor,1078.65,10.0,10000.0,drn_k,1.0,0.0,1,178,24,7,6429105.426806965,1840763.7400280368
drn_k_i:178_j:31_zone:1,log,factor,1289.33,10.0,10000.0,drn_k,1.0,0.0,1,178,31,1,6432327.193794048,1842131.2989777497
drn_k_i:178_j:38_zone:1,log,factor,1149.12,10.0,10000.0,drn_k,1.0,0.0,1,178,38,1,6435548.960781132,1843498.857927462
drn_k_i:178_j:3_zone:9,log,factor,1515.37,10.0,10000.0,drn_k,1.0,0.0,1,178,3,9,6419440.1258457145,1836661.0631789
drn_k_i:178_j:45_zone:1,log,factor,1286.52,10.0,10000.0,drn_k,1.0,0.0,1,178,45,1,6438770.727768215,1844866.4168771743
drn_k_i:178_j:52_zone:1,log,factor,1076.78,10.0,10000.0,drn_k,1.0,0.0,1,178,52,1,6441992.494755299,1846233.975826887
drn_k_i:178_j:59_zone:2,log,factor,1123.35,10.0,10000.0,drn_k,1.0,0.0,1,178,59,2,6445214.261742383,1847601.5347765996
drn_k_i:178_j:66_zone:2,log,factor,1170.15,10.0,10000.0,drn_k,1.0,0.0,1,178,66,2,6448436.028729467,1848969.093726312
drn_k_i:178_j:73_zone:2,log,factor,1355.87,10.0,10000.0,drn_k,1.0,0.0,1,178,73,2,6451657.79571655,1850336.6526760245
drn_k_i:178_j:80_zone:2,log,factor,1255.47,10.0,10000.0,drn_k,1.0,0.0,1,178,80,2,6454879.562703634,1851704.211625737
drn_k_i:17_j:10_zone:9,log,factor,967.287,10.0,10000.0,drn_k,1.0,0.0,1,17,10,9,6391208.036989411,1912129.2628315336
drn_k_i:17_j:17_zone:5,log,factor,1217.97,10.0,10000.0,drn_k,1.0,0.0,1,17,17,5,6394429.803976495,1913496.8217812465
drn_k_i:17_j:24_zone:4,log,factor,884.879,10.0,10000.0,drn_k,1.0,0.0,1,17,24,4,6397651.570963578,1914864.380730959
drn_k_i:17_j:31_zone:4,log,factor,1148.73,10.0,10000.0,drn_k,1.0,0.0,1,17,31,4,6400873.337950662,1916231.939680671
drn_k_i:17_j:38_zone:4,log,factor,1198.66,10.0,10000.0,drn_k,1.0,0.0,1,17,38,4,6404095.104937745,1917599.4986303835
drn_k_i:17_j:3_zone:9,log,factor,1151.15,10.0,10000.0,drn_k,1.0,0.0,1,17,3,9,6387986.270002328,1910761.7038818211
drn_k_i:17_j:45_zone:9,log,factor,1110.2,10.0,10000.0,drn_k,1.0,0.0,1,17,45,9,6407316.871924829,1918967.057580096
drn_k_i:17_j:52_zone:9,log,factor,1201.78,10.0,10000.0,drn_k,1.0,0.0,1,17,52,9,6410538.638911912,1920334.6165298084
drn_k_i:17_j:59_zone:9,log,factor,1156.39,10.0,10000.0,drn_k,1.0,0.0,1,17,59,9,6413760.405898997,1921702.1754795208
drn_k_i:17_j:66_zone:9,log,factor,1450.75,10.0,10000.0,drn_k,1.0,0.0,1,17,66,9,6416982.17288608,1923069.7344292332
drn_k_i:17_j:73_zone:9,log,factor,1289.8,10.0,10000.0,drn_k,1.0,0.0,1,17,73,9,6420203.939873164,1924437.293378946
drn_k_i:17_j:80_zone:9,log,factor,981.553,10.0,10000.0,drn_k,1.0,0.0,1,17,80,9,6423425.706860247,1925804.8523286583
drn_k_i:185_j:10_zone:9,log,factor,1192.5,10.0,10000.0,drn_k,1.0,0.0,1,185,10,9,6424029.451782511,1834806.8551415289
drn_k_i:185_j:17_zone:9,log,factor,1179.83,10.0,10000.0,drn_k,1.0,0.0,1,185,17,9,6427251.218769594,1836174.4140912413
drn_k_i:185_j:24_zone:9,log,factor,1446.73,10.0,10000.0,drn_k,1.0,0.0,1,185,24,9,6430472.985756678,1837541.9730409535
drn_k_i:185_j:31_zone:1,log,factor,1080.61,10.0,10000.0,drn_k,1.0,0.0,1,185,31,1,6433694.752743761,1838909.5319906664
drn_k_i:185_j:38_zone:1,log,factor,946.749,10.0,10000.0,drn_k,1.0,0.0,1,185,38,1,6436916.519730845,1840277.0909403784
drn_k_i:185_j:3_zone:9,log,factor,1340.3,10.0,10000.0,drn_k,1.0,0.0,1,185,3,9,6420807.684795427,1833439.2961918165
drn_k_i:185_j:45_zone:1,log,factor,1683.52,10.0,10000.0,drn_k,1.0,0.0,1,185,45,1,6440138.286717928,1841644.649890091
drn_k_i:185_j:52_zone:1,log,factor,1671.22,10.0,10000.0,drn_k,1.0,0.0,1,185,52,1,6443360.053705012,1843012.2088398037
