obsnme,obsval,weight,obgnme,observationname,oname,otype,start,term,time,usecol,standard_deviation
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2018,20814360.25429,0.0,flux,,flux,lst,2018,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1969,123797.81092,0.0,flux,,flux,lst,1969,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1970,4515226.65828,0.0,flux,,flux,lst,1970,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1971,4687927.15954,0.0,flux,,flux,lst,1971,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1972,4460644.6849299995,0.0,flux,,flux,lst,1972,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1973,4640409.83847,0.0,flux,,flux,lst,1973,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1974,4450099.296949999,0.0,flux,,flux,lst,1974,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1975,4465884.87287,0.0,flux,,flux,lst,1975,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1976,4696314.20808,0.0,flux,,flux,lst,1976,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1977,4707010.04947,0.0,flux,,flux,lst,1977,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1978,4796848.19635,0.0,flux,,flux,lst,1978,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1979,6644693.86434,0.0,flux,,flux,lst,1979,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1980,6590153.51587,0.0,flux,,flux,lst,1980,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1981,6660481.60996,0.0,flux,,flux,lst,1981,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1982,5749907.88688,0.0,flux,,flux,lst,1982,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1983,6001382.23264,0.0,flux,,flux,lst,1983,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1984,6781001.50646,0.0,flux,,flux,lst,1984,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1985,6617883.965550001,0.0,flux,,flux,lst,1985,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1986,6274662.15305,0.0,flux,,flux,lst,1986,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1987,7005572.25232,0.0,flux,,flux,lst,1987,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1988,7102580.76779,0.0,flux,,flux,lst,1988,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1989,6211966.66322,0.0,flux,,flux,lst,1989,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1990,6340239.1747200005,0.0,flux,,flux,lst,1990,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1991,6271781.18585,0.0,flux,,flux,lst,1991,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1992,6330477.81075,0.0,flux,,flux,lst,1992,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1993,8127337.18499,0.0,flux,,flux,lst,1993,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1994,9010937.06189,0.0,flux,,flux,lst,1994,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1995,8087534.99678,0.0,flux,,flux,lst,1995,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1996,7882997.50187,0.0,flux,,flux,lst,1996,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1997,9651137.96695,0.0,flux,,flux,lst,1997,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1998,7714933.2281,0.0,flux,,flux,lst,1998,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:1999,8619540.772330001,0.0,flux,,flux,lst,1999,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2000,8731070.561110001,0.0,flux,,flux,lst,2000,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2001,9980560.322730001,0.0,flux,,flux,lst,2001,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2002,9873095.92625,0.0,flux,,flux,lst,2002,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2003,9410297.103559999,0.0,flux,,flux,lst,2003,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2004,10478059.10136,0.0,flux,,flux,lst,2004,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2005,8605568.08792,0.0,flux,,flux,lst,2005,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2006,9579114.9661,0.0,flux,,flux,lst,2006,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2007,10081880.41456,0.0,flux,,flux,lst,2007,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2008,10361252.48914,0.0,flux,,flux,lst,2008,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2009,9212339.71991,0.0,flux,,flux,lst,2009,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2010,8733771.99267,0.0,flux,,flux,lst,2010,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2011,8208099.956239999,0.0,flux,,flux,lst,2011,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2012,10438226.96139,0.0,flux,,flux,lst,2012,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2013,10084733.04402,0.0,flux,,flux,lst,2013,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2014,6426361.5367600005,0.0,flux,,flux,lst,2014,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2015,7151206.84365,0.0,flux,,flux,lst,2015,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2016,8010618.887,0.0,flux,,flux,lst,2016,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2017,8190563.85154,0.0,flux,,flux,lst,2017,,,fmp,
oname:flux_otype:lst_usecol:fmp_wells_out_date_start:2018,8096268.11092,0.0,flux,,flux,lst,2018,,,fmp,
oname:flux_otype:lst_usecol:ghb_in_date_start:1969,265.86946,0.0,flux,,flux,lst,1969,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1970,3163.65323,0.0,flux,,flux,lst,1970,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1971,3104.92883,0.0,flux,,flux,lst,1971,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1972,3065.66473,0.0,flux,,flux,lst,1972,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1973,2981.80239,0.0,flux,,flux,lst,1973,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1974,2926.16192,0.0,flux,,flux,lst,1974,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1975,2903.47181,0.0,flux,,flux,lst,1975,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1976,2917.14511,0.0,flux,,flux,lst,1976,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1977,2934.30833,0.0,flux,,flux,lst,1977,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1978,2871.51637,0.0,flux,,flux,lst,1978,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1979,2831.84597,0.0,flux,,flux,lst,1979,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1980,2769.62316,0.0,flux,,flux,lst,1980,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1981,2762.4323,0.0,flux,,flux,lst,1981,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1982,2689.13132,0.0,flux,,flux,lst,1982,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1983,2614.72551,0.0,flux,,flux,lst,1983,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1984,2612.29686,0.0,flux,,flux,lst,1984,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1985,2625.78699,0.0,flux,,flux,lst,1985,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1986,2594.9241899999997,0.0,flux,,flux,lst,1986,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1987,2606.9267800000002,0.0,flux,,flux,lst,1987,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1988,2593.71288,0.0,flux,,flux,lst,1988,,,ghb,
oname:flux_otype:lst_usecol:ghb_in_date_start:1989,2601.46183,0.0,flux,,flux,lst,1989,,,ghb,
