         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT        WEL_V1_IN       WEL_V1_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1974-02-01T00:00:00    51     1           28.0         1551.0     4.9632970E+8     5.0953241E+8              0.0              0.0     1.5124145E+7     129853.95680        265.84074              0.0      32171.78865              0.0              0.0       5521.81667     320419.02275     205220.32733    2.0576619E-10    1.4759079E-10              0.0     149950.88536     6.7907026E+6     8.5744408E+6      0.0029469  5.6824682E-10
1974-03-01T00:00:00    52     1           31.0         1582.0     4.9279430E+8     5.0939433E+8              0.0              0.0     1.9869499E+7     125439.01580        265.84042              0.0      32171.78865              0.0              0.0       5548.85392     528537.58610     154967.82497    1.6860332E-10    1.6540557E-10              0.0              0.0     1.8509969E+7     2.2054454E+7      0.0035251  6.6293925E-10
1974-04-01T00:00:00    53     1           30.0         1612.0     5.1051972E+8     4.9803961E+8              0.0              0.0     459689.69407     135022.84480        265.84011              0.0      32171.78865              0.0              0.0       5571.76548     279784.55612     230516.52268    2.0845057E-10    1.7453446E-10              0.0     659346.16174     5.1371959E+6     1.7358759E+7      0.0058428   1.1313863E-9
1974-05-01T00:00:00    54     1           31.0         1643.0     5.2154704E+8     4.8876405E+8              0.0              0.0              0.0     153403.78380        265.83979              0.0      32171.78865              0.0              0.0       5587.83485     146195.39759     340182.56206    2.2582986E-10    1.6904075E-10              0.0     4.4789077E+6     867150.07862     2.8850699E+7      3.1435716   6.0153363E-7
1974-06-01T00:00:00    55     1           30.0         1673.0     5.2031396E+8     4.8484405E+8              0.0              0.0              0.0     174222.82680        265.83948              0.0      32171.78865              0.0              0.0       5601.38683     128822.81066     342596.63318    2.2082513E-10    2.1818941E-10              0.0     1.8034393E+6     346596.63942     3.3651919E+7      6.5927574   1.2658374E-6
1974-07-01T00:00:00    56     1           31.0         1704.0     5.4771399E+8     4.6851702E+8              0.0              0.0              0.0     183160.02080        265.83916              0.0      32171.78865              0.0              0.0       5595.85191     220921.15622     286443.27241    1.8920216E-10    1.7075490E-10              0.0     2.4773684E+6     2.1094045E+6     7.8607167E+7      2.1451849   3.8997919E-7
1974-08-01T00:00:00    57     1           31.0         1735.0     5.4255656E+8     4.6882727E+8              0.0              0.0              0.0     183627.58880        265.83884              0.0      32171.78865              0.0              0.0       5593.52225     137684.83602     339617.79894    2.4012363E-10    1.7187299E-10              0.0     3.6089119E+6     643145.18082     7.0404817E+7      5.2442890   9.6514173E-7
1974-09-01T00:00:00    58     1           30.0         1765.0     5.3087537E+8     4.7197213E+8              0.0              0.0              0.0     177120.59780        265.83852              0.0      32171.78865              0.0              0.0       5597.92836     129519.96204     341824.20920    1.8146462E-10    1.4432263E-10              0.0     3.2734683E+6     566824.63397     5.5834432E+7      414.46850   7.7965594E-5
1974-10-01T00:00:00    59     1           31.0         1796.0     5.1230818E+8     4.7988270E+8              0.0              0.0              0.0     155506.90080        265.83820              0.0      32171.78865              0.0              0.0       5613.60613     236836.71268     279811.59556    1.7368732E-10    1.5330723E-10              0.0     136640.30630     2.3009903E+6     3.4418171E+7   7.0393085E-5  1.3671787E-11
1974-11-01T00:00:00    60     1           30.0         1826.0     5.0079327E+8     4.8650200E+8              0.0              0.0              0.0     135022.84480        265.83789              0.0      32171.78865              0.0              0.0       5636.84658     234123.79691     285489.27344    1.6015359E-10    1.9155656E-10              0.0      27203.02000     2.1028404E+6     1.6207319E+7      0.0055415   1.1013344E-9
